a, b, c, d, e, f, g, h, i, Determinant
8, 1, 1, 1, 8, 7, 6, 8, 3, -257
9, 2, 10, 7, 2, 6, 6, 7, 10, 104
1, 7, 9, 10, 6, 5, 4, 5, 6, -35
2, 10, 2, 9, 5, 4, 7, 9, 9, -420
1, 1, 1, 10, 9, 9, 8, 10, 2, 8
9, 6, 9, 9, 10, 10, 4, 9, 6, 15
8, 2, 5, 1, 4, 8, 10, 4, 3, -186
5, 9, 4, 9, 8, 8, 1, 6, 10, -394
2, 7, 6, 3, 6, 10, 3, 4, 9, 13
10, 7, 7, 3, 9, 1, 4, 2, 4, 74
1, 7, 4, 6, 2, 9, 10, 3, 9, 235
2, 4, 2, 6, 2, 9, 1, 7, 9, -190
2, 8, 3, 9, 10, 7, 4, 8, 3, 52
5, 5, 5, 7, 3, 9, 4, 9, 5, -70
3, 6, 9, 2, 7, 2, 8, 5, 6, -294
2, 3, 3, 5, 2, 1, 2, 2, 9, -79
8, 2, 5, 1, 2, 7, 2, 10, 9, -376
5, 6, 10, 8, 4, 8, 6, 10, 10, 168
9, 8, 10, 10, 8, 6, 9, 1, 10, -322
1, 4, 4, 10, 3, 2, 7, 9, 6, 92
1, 8, 2, 5, 3, 4, 6, 9, 10, -160
9, 1, 5, 3, 1, 7, 3, 1, 2, -30
6, 4, 9, 5, 2, 4, 2, 10, 3, 182
2, 1, 1, 6, 1, 10, 4, 1, 8, -10
4, 1, 1, 9, 6, 1, 9, 4, 3, 20
10, 6, 3, 9, 10, 7, 9, 2, 1, 68
5, 6, 9, 5, 5, 10, 7, 1, 1, 95
7, 7, 2, 1, 2, 1, 7, 1, 10, 86
9, 7, 5, 5, 2, 4, 2, 4, 8, -144
4, 8, 2, 10, 1, 9, 9, 8, 8, -106
8, 9, 10, 7, 1, 3, 3, 8, 1, 364
4, 3, 8, 8, 2, 4, 9, 1, 6, -84
5, 3, 7, 5, 9, 7, 7, 6, 4, -174
7, 6, 9, 10, 5, 5, 10, 10, 8, 200
6, 1, 4, 5, 9, 6, 7, 10, 7, -27
8, 10, 10, 4, 6, 2, 2, 5, 8, 104
5, 6, 5, 5, 10, 8, 7, 7, 4, -39
9, 10, 9, 5, 10, 4, 7, 9, 10, 131
2, 8, 7, 8, 10, 4, 7, 1, 8, -570
8, 2, 6, 4, 3, 10, 9, 10, 1, -526
